Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Rating_Numeric,Reviews_Numeric,Sizes_Count,Discount_Percentage,Price_Per_Size,Rating_Score,Color_Category
Women Floral Printed Pure Cotton A-Line Midi Dress,Sangria,704,4.3 | 82 Ratings,82 Ratings,704,Midi,V-Neck,,,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-printed-pure-cotton-a-line-midi-dress/33440363/buy,Casual,4.3,82,4,0,176,4.3,High (4)
Women Maternity Floral Printed Ethnic Dress,Vaidiki,676,5 | 5 Ratings,5 Ratings,676,Maxi,Round Neck,,,,"5XL, 6XL, 7XL, 8XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-floral-printed-ethnic-dress/34899914/buy,Traditional,5,5,4,0,169,5,High (4)
Women Floral Thread Embroidered Ethnic Dress,Inddus,1596,4.2 | 61 Ratings,61 Ratings,1596,Maxi,V-Neck,,,,"XS, S, M, L, XL",4,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-thread-embroidered-ethnic-dress/40815094/buy,Party Wear,4.2,61,5,0,319.2,4.2,High (4)
Women Floral Printed Round Neck Pure Cotton Maternity Fit & Flare Maxi Ethnic Dress,Henal,752,,,752,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/henal/henal-women-floral-printed-round-neck-pure-cotton-maternity-fit--flare-maxi-ethnic-dress/37686735/buy,Traditional,,,4,0,188,,High (4)
Embroidered Floral Ethnic Dresses,Angoshobha,3652,,,3652,Knee Length,Shirt Collar,Short Sleeves,,A-Line,M,4,No,Cotton,https://www.myntra.com/ethnic-dresses/angoshobha/angoshobha-embroidered-floral-ethnic-dresses/30487399/buy,Party Wear,,,1,0,3652,,High (4)
Women Maternity Plus Size Floral Printed Flared Ethnic Dress,Vaidiki,676,4.7 | 9 Ratings,9 Ratings,676,Maxi,Round Neck,,Regular Sleeves,Maxi,"5XL, 6XL, 7XL, 8XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-plus-size-floral-printed-flared-ethnic-dress/34899629/buy,Traditional,4.7,9,4,0,169,4.7,High (4)
Anayna Floral Print Pure Cotton Tiered Midi Ethnic Dress,anayna,1271,4.4 | 1.1k Ratings,1.1k Ratings,1271,Midi,,,,,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-print-pure-cotton-tiered-midi-ethnic-dress/23158872/buy,Traditional,4.4,1100,7,0,181.5714286,4.4,Medium (3)
Women Floral Thread Embroidered Ethnic Dress,Inddus,1603,4.3 | 74 Ratings,74 Ratings,1603,Maxi,V-Neck,,,,"XS, S, M, L, XL",4,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-thread-embroidered-ethnic-dress/38334655/buy,Party Wear,4.3,74,5,0,320.6,4.3,High (4)
Floral-Printed Empire Ethnic Dress,Sangria,757,4.2 | 1.2k Ratings,1.2k Ratings,757,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-empire-ethnic-dress/24804524/buy,Traditional,4.2,1200,1,0,757,4.2,Medium (3)
Floral Embroidered Maxi Ethnic Dress,Soch,1860,4 | 8 Ratings,8 Ratings,1860,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,XL,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/soch/soch-floral-embroidered-maxi-ethnic-dress/24989024/buy,Party Wear,4,8,1,0,1860,4,High (4)
