Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Dress_Type,Price_Category,Size_Count,Rating_Category,Dress_Type_Encoded
Women Floral Printed Pure Cotton A-Line Midi Dress,Sangria,704,0.0,82.0,704.0,Midi,V-Neck,0,0,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-printed-pure-cotton-a-line-midi-dress/33440363/buy,Casual,Casual,Medium,4,Low,0
Women Maternity Floral Printed Ethnic Dress,Vaidiki,676,0.0,5.0,676.0,Maxi,Round Neck,0,0,0,"5XL, 6XL, 7XL, 8XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-floral-printed-ethnic-dress/34899914/buy,Traditional,Traditional,Medium,4,Low,3
Women Floral Thread Embroidered Ethnic Dress,Inddus,1596,0.0,61.0,1596.0,Maxi,V-Neck,0,0,0,"XS, S, M, L, XL",4,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-thread-embroidered-ethnic-dress/40815094/buy,Party Wear,Traditional,High,5,Low,3
Women Floral Printed Round Neck Pure Cotton Maternity Fit & Flare Maxi Ethnic Dress,Henal,752,0.0,0.0,752.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/henal/henal-women-floral-printed-round-neck-pure-cotton-maternity-fit--flare-maxi-ethnic-dress/37686735/buy,Traditional,Traditional,Medium,4,Low,3
Embroidered Floral Ethnic Dresses,Angoshobha,3652,0.0,0.0,3652.0,Knee Length,Shirt Collar,Short Sleeves,0,A-Line,M,4,No,Cotton,https://www.myntra.com/ethnic-dresses/angoshobha/angoshobha-embroidered-floral-ethnic-dresses/30487399/buy,Party Wear,Traditional,High,1,Low,3
Women Maternity Plus Size Floral Printed Flared Ethnic Dress,Vaidiki,676,0.0,9.0,676.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,"5XL, 6XL, 7XL, 8XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-plus-size-floral-printed-flared-ethnic-dress/34899629/buy,Traditional,Traditional,Medium,4,Low,3
Anayna Floral Print Pure Cotton Tiered Midi Ethnic Dress,anayna,1271,0.0,1100.0,1271.0,Midi,0,0,0,0,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-print-pure-cotton-tiered-midi-ethnic-dress/23158872/buy,Traditional,Traditional,High,7,Low,3
Women Floral Thread Embroidered Ethnic Dress,Inddus,1603,0.0,74.0,1603.0,Maxi,V-Neck,0,0,0,"XS, S, M, L, XL",4,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-thread-embroidered-ethnic-dress/38334655/buy,Party Wear,Traditional,High,5,Low,3
Floral-Printed Empire Ethnic Dress,Sangria,757,0.0,1200.0,757.0,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-empire-ethnic-dress/24804524/buy,Traditional,Traditional,Medium,1,Low,3
Floral Embroidered Maxi Ethnic Dress,Soch,1860,0.0,8.0,1860.0,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,XL,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/soch/soch-floral-embroidered-maxi-ethnic-dress/24989024/buy,Party Wear,Traditional,High,1,Low,3
Floral Printed Maxi Ethnic Dress,CHANSI,958,0.0,35.0,958.0,Maxi,Round Neck,Three-Quarter Sleeves,0,Maxi,"S, M, L, XL, XXL, 3XL, 4XL, 5XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/chansi/chansi-floral-printed-maxi-ethnic-dress/26088672/buy,Traditional,Traditional,Medium,8,Low,3
Off White & Yellow Floral Ethnic Midi Dress,Biba,1655,0.0,32.0,1655.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"S, M, L, XL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/biba/biba-off-white--yellow-floral-ethnic-midi-dress/16585608/buy,Traditional,Traditional,High,5,Low,3
Floral Printed Tiered Ethnic Dress,Janasya,925,0.0,9.0,925.0,Midi,Round Neck,0,0,0,"XS, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33476915/buy,Traditional,Traditional,Medium,2,Low,3
