Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link
Women Floral Printed Pure Cotton A-Line Midi Dress,Sangria,₹704,4.3 | 82 Ratings,82 Ratings,₹704 MRP ₹2699(74% OFF),Midi,V-Neck,,,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-printed-pure-cotton-a-line-midi-dress/33440363/buy
Women Maternity Floral Printed Ethnic Dress,Vaidiki,₹676,5 | 5 Ratings,5 Ratings,₹676 MRP ₹2398(72% OFF),Maxi,Round Neck,,,,"5XL, 6XL, 7XL, 8XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-floral-printed-ethnic-dress/34899914/buy
Women Floral Thread Embroidered Ethnic Dress,Inddus,₹1596,4.2 | 61 Ratings,61 Ratings,₹1596 MRP ₹4199(62% OFF),Maxi,V-Neck,,,,"XS, S, M, L, XL",4,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-thread-embroidered-ethnic-dress/40815094/buy
Women Floral Printed Round Neck Pure Cotton Maternity Fit & Flare Maxi Ethnic Dress,Henal,₹752,,,₹752 MRP ₹2999(75% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/henal/henal-women-floral-printed-round-neck-pure-cotton-maternity-fit--flare-maxi-ethnic-dress/37686735/buy
Embroidered Floral Ethnic Dresses,Angoshobha,₹3652,,,₹3652 MRP ₹6325(42% OFF),Knee Length,Shirt Collar,Short Sleeves,,A-Line,M,4,No,Cotton,https://www.myntra.com/ethnic-dresses/angoshobha/angoshobha-embroidered-floral-ethnic-dresses/30487399/buy
Women Maternity Plus Size Floral Printed Flared Ethnic Dress,Vaidiki,₹676,4.7 | 9 Ratings,9 Ratings,₹676 MRP ₹2398(72% OFF),Maxi,Round Neck,,Regular Sleeves,Maxi,"5XL, 6XL, 7XL, 8XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-plus-size-floral-printed-flared-ethnic-dress/34899629/buy
Anayna Floral Print Pure Cotton Tiered Midi Ethnic Dress,anayna,₹1271,4.4 | 1.1k Ratings,1.1k Ratings,₹1271 MRP ₹4160(69% OFF),Midi,,,,,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-print-pure-cotton-tiered-midi-ethnic-dress/23158872/buy
Women Floral Thread Embroidered Ethnic Dress,Inddus,₹1603,4.3 | 74 Ratings,74 Ratings,₹1603 MRP ₹4199(62% OFF),Maxi,V-Neck,,,,"XS, S, M, L, XL",4,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-thread-embroidered-ethnic-dress/38334655/buy
Floral-Printed Empire Ethnic Dress,Sangria,₹757,4.2 | 1.2k Ratings,1.2k Ratings,₹757 MRP ₹2425(69% OFF),Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-empire-ethnic-dress/24804524/buy
Floral Embroidered Maxi Ethnic Dress,Soch,₹1860,4 | 8 Ratings,8 Ratings,₹1860 MRP ₹2620(29% OFF),Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,XL,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/soch/soch-floral-embroidered-maxi-ethnic-dress/24989024/buy
Floral Printed Maxi Ethnic Dress,CHANSI,₹958,4.1 | 35 Ratings,35 Ratings,₹958 MRP ₹3999(76% OFF),Maxi,Round Neck,Three-Quarter Sleeves,,Maxi,"S, M, L, XL, XXL, 3XL, 4XL, 5XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/chansi/chansi-floral-printed-maxi-ethnic-dress/26088672/buy
Off White & Yellow Floral Ethnic Midi Dress,Biba,₹1655,4.1 | 32 Ratings,32 Ratings,₹1655 MRP ₹2299(28% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/biba/biba-off-white--yellow-floral-ethnic-midi-dress/16585608/buy
Floral Printed Tiered Ethnic Dress,Janasya,₹925,4.1 | 9 Ratings,9 Ratings,₹925 MRP ₹3099(70% OFF),Midi,Round Neck,,,,"XS, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33476915/buy
Red Floral Net Ethnic Maxi Dress,White World,MRP₹ 4999,4.6 | 22 Ratings,22 Ratings,MRP₹ 4999,Maxi,,,,Maxi,"5-6Y, 7-8Y, 9-10Y, 11-12Y, 13-14Y",4,No,Net,https://www.myntra.com/ethnic-dresses/white+world/white-world-red-floral-net-ethnic-maxi-dress/19359720/buy
Floral Printed Fit and Flare Midi Ethnic Dress With Dupatta,SkyaSia,₹577,3.6 | 391 Ratings,391 Ratings,₹577 MRP ₹2499(77% OFF),Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL, 3XL",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/skyasia/skyasia-floral-printed-fit-and-flare-midi-ethnic-dress-with-dupatta/23581188/buy
Floral Print Tie-up Neck Paneled Shirt Style Dress,Sangria,₹869,3.9 | 70 Ratings,70 Ratings,₹869 MRP ₹2999(71% OFF),Knee Length,Tie-Up Neck,,,,"XS, S, M, L, XL, XXL",3,No,Polyester,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-print--tie-up-neck-paneled-shirt-style-dress-/32330228/buy
White Floral Ethnic Maxi Dress,KALINI,MRP₹ 3599,3.9 | 563 Ratings,563 Ratings,MRP₹ 3599,Maxi,Square Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-white-floral-ethnic-maxi-dress/18374468/buy
Women Pink Floral Embroidered Maxi Ethnic Dress,Vishudh,₹591,4.2 | 548 Ratings,548 Ratings,₹591 MRP ₹1849(68% OFF),Maxi,Round Neck,Three-Quarter Sleeves,,Maxi,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-women-pink-floral-embroidered-maxi-ethnic-dress/11524936/buy
Floral Printed Maxi Ethnic Dress,SAPTRANGI,₹18558,,,₹18558 MRP ₹34999(47% OFF),Maxi,,Short Sleeves,,Maxi,M,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-printed-maxi-ethnic-dress/33625137/buy
Cotton Floral Ethnic Midi Ethnic Dress,SUTI,₹1979,,,₹1979 MRP ₹3499(43% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/suti/suti-cotton-floral-ethnic-midi-ethnic-dress/21263754/buy
Women Floral Printed Midi Ethnic Dresses,anayna,₹1670,4.4 | 1.1k Ratings,1.1k Ratings,₹1670 MRP ₹4750(65% OFF),Midi,,,,,"XS, S, M, L, XL, XXL, 3XL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-midi-ethnic-dresses/31742090/buy
